client_reference,claim_number,liquidation_number,claim_id,gestiones_activas,gestiones_total,inspecciones_total,inspecciones_activas,prioridad,accion,motivo
202605418,226014992,L-000001083,df77d18e-a89b-48a5-8e01-6e485bf5c979,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605419,226014993,L-000000992,10b4dbeb-9736-4d80-acd6-1b74a9e79a35,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605419,226014993,L-000001067,76afb6a4-e3f9-44f1-9d96-3cff8df30b3e,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605420,226014994,L-000000922,f597d910-f172-4f9d-910f-6b6fe5a5e238,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
202605420,226014994,L-000001068,f9a6be3d-14cf-490b-ac0e-8e87ed7ff71e,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605421,226014996,L-000000964,ad120c7a-5e76-4776-864c-44bf866dd3ec,1,1,0,0,1,MANTENER,Gestiones activas
202605421,226014996,L-000001204,57ff276b-17c4-42da-bb4c-33c6f396ccc0,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605422,226014997,L-000001008,158b0025-abbd-41c1-b9e0-7a5711800aeb,1,1,0,0,1,MANTENER,Gestiones activas
202605422,226014997,L-000001108,e02a3269-f58c-4e01-aee8-988226d7a93b,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605423,226014998,L-000000949,c553f884-3c1e-4173-a2ca-e8c23f6f7dbe,1,1,0,0,1,MANTENER,Gestiones activas
202605423,226014998,L-000001161,20d7e55f-b985-4659-9958-26636cc15c27,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605425,226015001,L-000000985,843671e9-60e6-43ee-a56d-7c80f98d5a4b,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605425,226015001,L-000001109,8e42214b-955c-4278-bb48-2a85b967ffa2,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605426,226015000,L-000000970,5263c496-6f4f-4454-9dc1-7747451684b4,1,1,0,0,1,MANTENER,Gestiones activas
202605426,226015000,L-000001181,34f4e667-cf2a-42da-a7b0-3bd0b267c978,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605427,226015003,L-000000973,760acfe6-1b2e-4eb8-bdbd-81d210597f04,1,1,0,0,1,MANTENER,Gestiones activas
202605427,226015003,L-000001063,17282c7a-7a7f-4afe-b0ad-9bf2580f651b,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605431,226015007,L-000000937,62c391da-b70f-4fa5-a75b-d4fab1bf5682,1,1,0,0,1,MANTENER,Gestiones activas
202605431,226015007,L-000001164,772d2a6c-1131-480b-8dce-3b5261a6bccd,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605445,226015028,L-000000950,14a7da9c-1853-4949-a44e-f29704bd4374,1,1,0,0,1,MANTENER,Gestiones activas
202605445,226015028,L-000001162,fced5dac-633d-4798-b534-7a03836217a9,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605449,226015090,L-000000905,b8bdfc47-fe5e-4e1e-8ed6-b282a1ea87e5,1,1,0,0,1,MANTENER,Gestiones activas
202605449,226015090,L-000001269,8c94af72-5adc-42c4-882a-a411fd123822,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605451,226015093,L-000001004,20ca16be-46a2-4fce-8d33-54b8ee90f13b,1,1,0,0,1,MANTENER,Gestiones activas
202605451,226015093,L-000001163,ea727770-1ae7-48bf-ace6-354ded12815b,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605453,226015095,L-000000958,2b800114-cf0e-4476-93f3-cf6e62adafda,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605453,226015095,L-000001111,6a1a045e-7039-44c2-a69e-aaa8b7c06a45,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605454,226015032,L-000000901,52b9f7e4-b517-4bcf-993d-4ce039f5b261,1,1,0,0,1,MANTENER,Gestiones activas
202605454,226015032,L-000001087,f197449f-cf5e-4315-bee0-ea694a4a8c19,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
